date,close,5. adjusted close,6. volume,7. dividend amount
2008-07-31,63.69,49.1098,45319400.0,0.0
2008-08-29,64.62,49.8269,31130500.0,0.0
2008-09-30,58.36,45.2225,53017700.0,0.296
2008-10-31,48.16,37.3187,173103100.0,0.0
2008-11-28,44.3,34.3276,390381200.0,0.0
2008-12-31,44.74,34.9376,200234000.0,0.335
2009-01-30,41.14,32.1264,158467900.0,0.0
2009-02-27,36.81,28.7451,139680100.0,0.0
2009-03-31,39.58,31.1207,130255000.0,0.278
2009-04-30,43.93,34.541,77365100.0,0.0
2009-05-29,46.33,36.428,63575500.0,0.0
2009-06-30,46.27,36.5604,48864500.0,0.223
2009-07-31,49.85,39.3892,42620500.0,0.0
2009-08-31,51.7,40.851,35494100.0,0.0
2009-09-30,53.59,42.5416,33497900.0,0.248
2009-10-30,52.18,41.4223,38266100.0,0.0
2009-11-30,55.15,43.78,37259200.0,0.0
2009-12-31,56.37,45.032,36961800.0,0.358
2010-01-29,54.36,43.4263,44463300.0,0.0
2010-02-26,56.23,44.9202,40649700.0,0.0
2010-03-31,59.59,47.7935,46139800.0,0.236
2010-04-30,60.89,48.8362,29872900.0,0.0
2010-05-28,56.09,44.9864,56280400.0,0.0
2010-06-30,52.56,42.3622,49950900.0,0.269
2010-07-30,56.25,45.3363,39708600.0,0.0
2010-08-31,53.6,43.2004,38699200.0,0.0
2010-09-30,58.37,47.2837,41757300.0,0.297
2010-10-29,60.72,49.1874,40163300.0,0.0
2010-11-30,61.03,49.4385,30401100.0,0.0
2010-12-31,64.93,52.878,108380700.0,0.346
2011-01-31,66.26,53.9612,40269100.0,0.0
2011-02-28,68.71,55.9564,42064700.0,0.0
2011-03-31,68.71,56.1898,45664600.0,0.283
2011-04-29,70.7,57.8172,29630200.0,0.0
2011-05-31,69.95,57.2038,31677900.0,0.0
2011-06-30,68.4,56.1771,49901900.0,0.283
2011-07-29,66.85,54.9041,47640600.0,0.0
2011-08-31,62.78,51.5614,107978800.0,0.0
2011-09-30,57.72,47.6557,63660600.0,0.306
2011-10-31,64.28,53.0719,60259100.0,0.0
